title,author,pub
"Marling hall,","Thirkell, Angela, 1890-1961.","New York : A.A. Knopf, 1942"
Command decision /,"Haines, William Wister, 1908-1989.","Boston : Little, Brown, 1947"
"Men at arms, a novel.","Waugh, Evelyn, 1903-1966.","London, Chapman & Hall, 1952"
Hull-down for action /,"Sperry, Armstrong, 1897-1976.","Garden City, N.Y. : Doubleday, Doran, 1945"
"The blood of others,","Beauvoir, Simone de, 1908-1986.; Senhouse, Roger,","New York, A.A. Knopf, 1948"
Iron in the soul;,"Sartre, Jean-Paul, 1905-1980.; Hopkins, Gerard,","London, Hamish Hamilton 1950"
Long the imperial way.,"Tasaki, Hanama.","Boston, Houghton Mifflin,  1950, 1949"
The jacaranda tree.,"Bates, H. E. 1905-1974.","Boston, Little, Brown & Co., 1949"
Country place.,"Petry, Ann, 1908-1997.","Boston, Houghton Mifflin, 1947"
That winter /,"Miller, Merle, 1919-1986.","New York : W. Sloane Associates, 1948"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","New York : Harcourt, Brace & world, 1942"
"Growing up,","Thirkell, Angela, 1890-1961.","New York, A.A. Knopf,  1944, ?"
"Hostages, a novel.","Heym, Stefan, 1913-2001.","New York, G.P. Putnam's Sons 1942"
"Williwaw,","Vidal, Gore, 1925-2012.","New York, E.P. Dutton & co., 1946"
"Reunion, a novel.","Miller, Merle, 1919-1986.","New York, Viking Press, 1954"
The end of the affair /,"Greene, Graham, 1904-1991.","London ; Melbourne ; Toronto : William Heinemann Ltd., 1951"
The end of the affair /,"Greene, Graham, 1904-1991.","London ; Melbourne ; Toronto : William Heinemann Ltd., 1951"
Back; a novel.,"Green, Henry, 1905-1974.","London, Hogarth Press, 1946"
The wine of astonishment /,"Gellhorn, Martha, 1908-1998.","New York : C. Scribner's, 1948"
Mrs. Searwood's secret weapon.,"Wibberley, Leonard, 1915-1983.","Boston, Little, Brown 1954"
"The best from Yank, the army weekly, selected by the editors of Yank.    Corp","Yank, the army weekly.","New York, World Pub. Co., 1945"
Meet the Malones /,"Weber, Lenora Mattingly, 1895-1971.; Howe, Gertrude,","New York : Crowell, 1943"
Far from the customary skies.,"Eyster, Warren, 1925-","New York, Random House 1953"
A bell for Adano /,"Hersey, John, 1914-1993.","New York : Modern library, 1946"
The strange land.,"Calmer, Ned.","New York, Scribner, 1950"
Born 1925; a novel of youth.,"Brittain, Vera, 1893-1970.","New York, Macmillan, 1949"
Castle Garac /,"Monsarrat, Nicholas, 1910-1979.","New York : Knopf, 1955"
The seizure of power.,"Milosz, Czeslaw.","New York, Criterion Books 1955"
Guerrilla : a novel /,"Dunsany, Edward John Moreton Drax Plunkett, Baron, 1878-1957.","Indianapolis ; New York : Bobbs-Merrill Co., 1944"
The provincial lady in wartime;,"Delafield, E. M., 1890-1943.","New York, London, Harper & Bros. 1940"
A bell for Adano /,"Hersey, John, 1914-1993.","New York : Franklin Watts, 1944"
"From the city, from the plough,","Baron, Alexander, 1917-1999.","New York, I. Washburn 1949"
Mister Roberts.,"Heggen, Thomas, 1919-1949.","New York, F. Watts 1946"
"The rainbow, a novel","Wasilewska, Wanda, 1905-1964.; Bone, Edith,; Bleeker, Sonia,","New York, Simon and Schuster, 1944"
The River Line.,"Morgan, Charles, 1894-1958.","London, Macmillan, 1949"
East by southwest /,"LaFarge, Christopher, 1897-1956.","New York : Coward-McCann, 1944"
