Position,Region,Name, VolInBill ,NumProps,Prop Type
Buyer,Asia,THAI HOT GROUP CO LTD, 2.44 ,9,All
Seller,Asia,HK LANDS DEPT, 8.31 ,34,All
Seller,Asia,URA, 3.95 ,14,All
Seller,Asia,HOUSING & DEV BOARD, 2.74 ,8,All
Seller,Asia,HUTCHISON WHAMPOA, 2.74 ,13,All
Seller,Asia,CHEUNG KONG HOLDINGS, 2.31 ,4,All
Seller,Asia,CYPRESS & KINGWIN CA..., 2.24 ,17,All
Seller,Asia,PROLOGIS, 1.97 ,14,All
Seller,Asia,MITSUI FUDOSAN, 1.96 ,26,All
Seller,Asia,TOKYU LAND, 1.87 ,18,All
Seller,Asia,FINANCIAL STREET HLDG, 1.70 ,5,All
Seller,Asia,DANNY TAN, 1.47 ,2,All
Seller,Asia,SULTAN OF JOHOR, 1.40 ,1,All
Seller,Asia,MORGAN STANLEY, 1.38 ,13,All
Seller,Asia,LASALLE, 1.36 ,17,All
Seller,Asia,CAPITALAND, 1.34 ,23,All
Seller,Asia,SONY, 1.28 ,3,All
Seller,Asia,WHEELOCK & CO, 1.25 ,2,All
Seller,Asia,PARK HOTEL GROUP, 1.16 ,3,All
Seller,Asia,SHINSEI BANK, 1.15 ,2,All
Seller,Asia,COMMERZBANK, 1.11 ,1,All
Buyer,Australia,MIRVAC GROUP, 1.40 ,13,All
Buyer,Australia,ISPT, 1.36 ,29,All
Buyer,Australia,CHARTER HALL, 1.33 ,18,All
Buyer,Australia,DEXUS PROPERTY GROUP, 1.17 ,11,All
Buyer,Australia,CROMWELL, 0.93 ,13,All
Buyer,Australia,CHALLENGER, 0.91 ,8,All
Buyer,Australia,PSP INVESTMENTS, 0.80 ,3,All
Buyer,Australia,QIC, 0.78 ,9,All
Buyer,Australia,MORGAN STANLEY, 0.76 ,3,All
Buyer,Australia,LEND LEASE, 0.75 ,4,All
Buyer,Australia,ABU DHABI INVT AUTHO..., 0.71 ,31,All
Buyer,Australia,BLACKSTONE, 0.71 ,10,All
Buyer,Australia,AMP CAPITAL INVESTORS, 0.60 ,32,All
Buyer,Australia,INVEST AD, 0.60 ,6,All
Buyer,Australia,INVESTA OFFICE FUND, 0.59 ,2,All
Buyer,Australia,CENTURIA CAPITAL LTD, 0.53 ,4,All
Buyer,Australia,FEDERATION CENTRES, 0.53 ,10,All
Buyer,Australia,INVESCO RE, 0.52 ,3,All
Buyer,Australia,GOODMAN GROUP, 0.51 ,7,All
Buyer,Australia,TELSTRA SUPER, 0.44 ,1,All
Seller,Australia,LEIGHTON PROPERTIES, 1.47 ,8,All
Seller,Australia,COLONIAL FIRST STATE, 1.14 ,10,All
Seller,Australia,GE CAPITAL, 1.14 ,20,All
