title,author,pub
The night of the summer solstice & other stories of the Russian war /,"Van Doren, Mark,","New York : Council on Books in Wartime,  1944, 1943"
Paid to be safe /,"Morrison, Margaret.; Tulk-Hart, Pamela.","London : Hutchinson & Co.,  1940-1950?"
Coastal commandos,"Browning, Sterry.","London, Nicholson & Watson 1946"
"Bugle blast : an anthology from the services, second series /","Aistrop, J. C. R.; Moore, Reginald,","London : G. Allen & Unwin, 1944"
The long alert; a novel.,"Gibbs, Philip, 1877-1962.","Toronto, Ryerson Press, 1942"
Reprisal /,"Vance, Ethel.","New York : Grosset & Dunlap, 1942"
The deep six /,"Dibner, Martin.","Garden City, N.Y. : Permabooks,  1954, 1953"
The White Tower /,"Ullman, James Ramsey, 1907-1971.","New York : Editions for the Armed Services,  1946, 1945"
Golden Prague : a novel /,"Honchar, Oles, 1918-","Moscow : Foreign Languages Pub. House, 1950"
One-- one-- one : stories of the Navy /,"Hackforth-Jones, Gilbert, 1900-1982.","London : Hodder & Stoughton, 1942"
The snow goose /,"Gallico, Paul, 1897-1976.","New York : A.A. Knopf,  1945, 1941"
Camp Happy and other stories /,"Kelen, Stephen, 1912-","Sydney : Caslon House, 1944"
"This above all,","Knight, Eric, 1897-1943.","New York, Harper 1941"
Fair stood the wind for France /,"Bates, H. E. 1905-1974.","London : Readers Union : M. Joseph, 1946"
Came a cavalier.,"Keyes, Frances Parkinson, 1885-1970.","[New York, New York] : Avon, 1947"
Snow treasure /,"McSwigan, Marie, 1907-1962.; Reardon, Mary,","New York : E.P. Dutton and Co.,  1943, 1942"
Tim's place /,"Evans, Eva Knox, 1905-; Frost, Bruno.","Eau Claire, Wis. : E.M. Hale, 1950"
The overlanders : a novel /,"Birtles, Dora, 1904-","London ; Sydney : Shakespeare Head, 1946"
And there were seven /,"Toniutti, Ronald.","New York : Exposition Press, 1950"
Islands of jeopardy /,"Duff, Douglas V. 1901-","London : Blackie & Son, 1950s"
Devil on his trail /,"Hawkins, John, 1910-; Hawkins, Ward,","New York : Editions for the Armed Services,  1945, 1944"
The Caine mutiny.,"Wouk, Herman, 1915-","New York : International Collector's Library, 1951"
Flare path,"Clevely, Hugh.","New York, Morrow, 1942"
Hull-down for action /,"Sperry, Armstrong, 1897-1976.","Garden City, N.Y. : Doubleday & Co., 1945"
The Caine mutiny.,"Wouk, Herman, 1915-","New York : International Collector's Library, 1951"
Flare path,"Clevely, Hugh.","New York, Morrow, 1942"
Hull-down for action /,"Sperry, Armstrong, 1897-1976.","Garden City, N.Y. : Doubleday & Co., 1945"
Wings of decision /,"Shellenberger, Eunice.","Scottdale, Pa. : Herald Press, 1951"
The gallery /,"Burns, John Horne, 1916-1953.","New York : Bantam Books,  1950, 1947"
Cashmir of the R.C.A.F. /,"Obodiac, Stan.","New York : Pageant Press, 1955"
A walk in the sun /,"Brown, Harry, 1917-1986.","London : Secker & Warburg, 1944"
The impossible shore /,"Kee, Robert.","New York : McGraw-Hill, 1949"
"They die with their boots clean,","Kersh, Gerald, 1911-1968.","London, Toronto, W. Heinemann Ltd.  1942, 1941"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.","New York : Knopf, 1951"
V for vengeance /,"Wheatley, Dennis, 1897-1977.","London ; New York : Hutchinson, 1942"
The young lions /,"Shaw, Irwin, 1913-1984.","London : Reprint Society, 1951"
No price for freedom /,"Gibbs, Philip, 1877-1962.","London ; Detroit : Tern (Rybitwa) Book Co., 1955"
The Gaunt Woman /,"Gilligan, Edmund, 1899-","New York : Editions for the Armed Services,  1945, 1943"
Sunrise /,"Duffield, Anne, 1895-","New York : Arcadia House, 1944"
"Dave Dawson with the Eighth air force,","Bowen, Robert Sidney, 1900-1977.","New York, Saalfield Pub. Co. 1944"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","London : Harrap, 1942"
At Mrs Lippincote's /,"Taylor, Elizabeth, 1912-1975.","London : Virago Press,  1945, 2006"
"The Best from Yank, the Army Weekly /  Publication:  Cleveland, Ohio : World Pub., 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 8   More Like This:  Advanced options ...   See more details for locating this item","The Best from Yank, the Army Weekly /  Publication:  Cleveland, Ohio : World Pub., 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 8   More Like This:  Advanced options ...   See more details for locating this item","Cleveland, Ohio : World Pub., 1945"
Twelve o'clock high! /,"Lay, Beirne, Jr., 1909-1982.; Bartlett, Sy,; Rubin, Hy.","New York : Bantam Books,  1949, 1948"
The snow was black /,"Simenon, Georges, 1903-1989.","New York : New American Library,  1951, 1950"
"The body fell on Berlin,","Lakin, Richard.","New York, Triangle Books, 1944"
The V plan /,"Hutchison, Graham Seton, 1890-1946.","New York : Smith & Durrell, Inc., 1941"
Men at arms : a novel /,"Waugh, Evelyn 1903-1966.","London : Chapman & Hall, 1952"
The ringed horizon /,"Gilligan, Edmund, 1899-","New York : Editions for the Armed Services,  1944, 1943"
Soft as steel /,"Pruett, Henry Ralph.","Boston : Christopher Pub. House, 1950"
Face of a hero /,"Falstein, Louis.; Schmidt, Al.","New York : Pocket Books,  1951, 1950"
Repent in haste /,"Marquand, John P. 1893-1960.","New York : Editions for the Armed Services,  1946, 1945"
The wooden horse /,"Ronaldson, A. S. M.; Kenyon, Les.; Williams, Eric","Harlow, Essex : Longman, 1955"
Reprisal /,"Vance, Ethel, 1891-1991.","New York : Council on Books in Wartime, Inc.,  1943, 1942"
Blackbirds on the wing /,"Henderson, Mitchel J.","Philadelphia : Dorrance and Company, Publishers, 1942"
The ship /,"Forester, C. S. 1899-1966.","Stockholm : Continental Book Co. AB, 1943"
War workers of the U.S.A. /,"Ewers, Retta Evelyn.","Cincinnati, Ohio : Hobson Press, 1943"
The jacaranda tree.,"Bates, H. E. 1905-1974.","London, M. Joseph 1951"
Time enough to live /,"Brennan, Dan, 1917-","London [England] : Secker & Warburg, 1953"
Guard of honor.,"Cozzens, James Gould, 1903-1978.","Garden City, N.Y., Permabooks 1952"
Foxes have holes.,"Eyre, Donald Cuthbert, 1920-","London, Robert Hale 1949"
"""I reckon as how.""","Woerner, John H. 1925-","Keerville, Tex., B. & W. Pub. Co., 1948"
"The blonde heathen (northeast of Borneo) : a story of intrigue, murder and espionage /","Savage, Jim Allen.","San Antonio, Tex. : The Naylor Company, Publishers, 1951"
"Wits end; : a novel about the Fleet air arm in the battle of Britain, /","Moore, John, 1907-1967.","London : J.M. Dent and sons ltd., 1942"
"Wits end; : a novel about the Fleet air arm in the battle of Britain, /","Moore, John, 1907-1967.","London : J.M. Dent and sons ltd., 1942"
"Wings deceive, a novel.","Simon, Edith, 1917-2003.","London, John Lane 1944"
Siegfried spy /,"Newman, Bernard, 1897-1968.","London : V. Gollancz, 1940"
Bright ramparts /,"Thompson, Thelma, 1907-1977.","New York : Arcadia House, Inc., 1943"
Mr. Winkle goes to war,"Pratt, Theodore, 1901-1969.","New York, Grosset & Dunlap 1943"
View from the air /,"Fosburgh, Hugh, 1916-","New York : Bantam Books,  1955, 1953"
"Hurricane Yank,","Montgomery, Rutherford G. 1896-1985.; Wittmack, Edgar Franklin,; Shimer, James,","Philadelphia, David McKay Co. 1942"
The Moon Is Down.,"Steinbeck, John.","Bantam, 1942"
Herman Wouk's The Caine mutiny.,"Wouk, Herman, 1915-","New York : Dell Pub. Co., 1951"
First harvest,"Pozner, Vladimir, 1905-1992.; Chevalier, Haakon,","London, Heinemann 1943"
Tomorrow will sing /,"Arnold, Elliott, 1912-1980.","New York : Duell, Sloan and Pearce, 1945"
The captain /,"Thacher, Russell, 1919-1990.; Dunn, Tom,","New York : Pocket Books,  1952, 1951"
The naked and the dead /,"Mailer, Norman.","The Hague : Heinemann, 1952"
The navigator /,"Roy, Jules, 1907-","New York : New American Library,  1955, 1956"
Sink and be damned!,"Townend, W. 1881-","London, Chapman & Hall 1940"
Smugglers Tower /,"Kenny, Alice A., 1875-1960.","Wellington, N.Z. : A.H. & A.W. Reed, 1945"
They die with their boots clean /,"Kersh, Gerald, 1911-1968.","London : Right Book Club, 1942"
Ward 20 : a realistic novel /,"Bellah, James Warner, 1899-1976.","New York : Popular Library, 1946"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979","London : Cassell, 1953"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.","London : Penguin Books, 1954"
Running to paradise /,"Lodwick, John, 1916-","London : Methuen, 1943"
I rode the rods through Naval Intelligence.,"Weeden, George Dewey.","New York, Vantage press 1954"
"Assignment in Brittany, By Helen Macinnes.","MacInnes, Helen, 1907-1985.","Boston, Little, Brown, 1942"
Love at first flight /,"Spalding, Charles F.; Carney, Otis.","New York : Council on Books in Wartime, 1943"
Pom-pom : a novel of the South Pacific /,"McInerney, Carl Raymond, 1906-","New York : Stratford House, 1949"
Leave cancelled /,"Monsarrat, Nicholas, 1910-1979.","New York : Dell, 1945"
If fight we must /,"Lee, Roberta.","London : C. & J. Temple, 1945"
"The death of Lord Haw Haw : being an account of the last days of the foremost Nazi spy and news commentator, the mysterious English traitor /","Rutledge, Brett, 1891-1958.; Salter, George,","New York : American Mercury, 1940"
French village /,"Bory, Jean-Louis, 1919-1979.","London : Dennis Dobson, 1948"
Twelve o'clock high!,"Lay, Beirne, Jr., 1909-1982.; Bartlett, Sy,","New York, Ballantine Books 1948"
None so blind /,"Baker, Gordon.","London : Newman Wolsey, 1946"
Finale Berlin /,"Rein, Heinz.","London : W. Laurie, 1952"
Tales of the south Pacific /,"Michener, James A. 1907-1997.","New York : Editions for the Armed Services, 1947"
Normandy farm /,"Armitage, Alan, 1875-1960.","Wellington [N.Z.] : A.H. & A.W. Reed, 1945"
"Against my fire,","Waring, D. G.","London, J. Long Ltd. 1941"
Puppy stakes /,"Cavanna, Betty, 1909-2001.","New York : Comet,  1949, 1943"
Escape /,"Vance, Ethel, 1891-1991.","New York : Pocket Books, 1942"
"Spitfires over Malta,","Walker, Rowland, 1876-","London, A. & C. Black Ltd. 1944"
The ship /,"Forester, C. S. 1899-1966.","[Harmondsworth] : Penguin in association with Michael Joseph, 1949"
Corporal Jack /,"Scott, David, journalist.","London : Faber and Faber, 1943"
Corporal Jack /,"Scott, David, journalist.","London : Faber and Faber, 1943"
Survivors from the Raider /,"Armitage, Alan, 1875-1960.","Wellington, N.Z. : A.H. & A.W. Reed, 1945"
The snow goose /,"Gallico, Paul, 1897-1976.","Toronto : Ryerson Press, 1945"
"Via Murmansk,","Fenwick, Kenneth.","London, New York [etc.] Hutchinson & co., ltd. 1944"
"Destroyer at war,","Griggs, George Philip.","London, New York [etc.] Hutchinson & Co., Ltd. 1943"
Overloads off : a story of the R.A.F. /,"Bensusan, A. M. 1913-","Perth [W.A.] : Patersons, 1946"
Retreat from Rostov /,"Hughes, Paul, 1916-","London ; New York : Jarrolds, 1940s"
This above all /,"Knight, Eric, 1897-1943.","London : Cassel, 1942"
Fair stood the wind for France /,"Bates, H. E. 1905-1974.","London : Michael Joseph, 1949"
Windy Wayne and his flying wing.,"Winterbotham, Russ 1904-1971.","Racine, Wi., Whitman Pub. Co., 1942"
Code name Moloch /,"Janes, Gene.","Sydney : Calvert Pub. ; Melbourne : Distributed by Gordon & Gotch, 1940s"
Fathoms deep /,"Dawson, Michael.","London : Nicholson & Watson, 1943"
The family,"Fedorova, Nina, 1895-1985.","New York, Popular Library 1940"
The family /,"Fedorova, Nina, 1895-1985.","Boston : Little, Brown and Company,  1941, 1940"
Surgeon in uniform /,"Blocklinger, Betty, 1895-","New York : Gramercy Pub., 1944"
The cross and the arrow /,"Maltz, Albert, 1908-1985.","New York : Editions for the Armed Services,  1945, 1944"
The end of the affair /,"Greene, Graham, 1904-1991.","Melbourne [etc.] : Heinemann, 1951"
A woman is witness : a Paris diary /,"Lothar, Ernst, pseud.","London : G.G. Harrap, 1942"
The Caine mutiny /,"Wouk, Herman, 1915-","London : Jonathan Cape, 1952"
Greetings from the front /,"Ovechkin, V. V. 1904-1968.; Isaacs, Bernard,","Moscow : Foreign Languages Pub. House, 1947"
Warhawk patrol /,"Montgomery, Rutherford G. 1896-1985.; Knight, Clayton,","Philadelphia : David McKay Co., 1944"
The zebra derby /,"Shulman, Max, 1919-1988.; Crawford, Bill,","New York : Editions for the Armed Services, 1946"
Punch Davis of the U.S. aircraft carrier /,"Snell, Roy J. 1878-1959.; White, J. R.,","Racine, Wis. : Whitman Pub. Co., 1945"
"Mistral hotel,","Lister, Stephen, pseud.","London, P. Davies 1940"
The small back room : a novel /,"Balchin, Nigel, 1908-1970.","London : Pan Books,  1947, 1943"
Age of thunder /,"Prokosch, Frederic, 1908-1989.","New York : Harper, 1945"
Fifth column family : a novel /,"Townend, W. 1881-; Heineman, James H.","London : Chapman & Hall, 1940"
Casanova in khaki /,"Freeman, Gale.; Kelley, Eddie C.","Tulsa, Okl. : Vickers and Co., 1946"
The Saboteurs : a novel /,"Mason, John William.","London : Frederick Muller, 1955"
Navy nurse /,"Parrott, Ursula, 1899-1957.","New York : Dodd, Mead & Co., 1943"
The age of reason /,"Sartre, Jean-Paul, 1905-1980","London : Hamish Hamilton, 1947"
The Naked and the Dead /,"Mailer, Norman.","New York : Holt, RInehart and WInston, 1948"
The naked and the dead /,"Mailer, Norman, 1923-","New York : New American Library, 1948"
The naked and the dead /,"Mailer, Norman.","London, A. Wingate  1954, 1949"
"Enduring adventure,","James, Norah Cordner, 1901-",London [etc.] Cassell and Co. 1944
Patrol /,"Majdalany, Fred.","[New York?] : Ballantine Books ; Boston : Houghton Mifflin Co., 1953"
Patrol.,"Majdalany, F. 1913-","New York, Ballantine Books 1953"
"Return to earth,","Finn, Ralph Leslie.","London, New York [etc.] Hutchinson & Co., ltd. 1945"
"Angels watched over him, a novel of faith put to the test of war.","Novellino, Joseph J.","New York, William-Frederick Press, 1953"
Now with the morning star,"Kernan, Thomas Dickenson, 1903-","London, J. Lane 1945"
Now with the morning star,"Kernan, Thomas Dickenson, 1903-","London, J. Lane 1945"
"Officers and gentlemen, a novel.","Waugh, Evelyn, 1903-1966.",London Chapman & Hall 1955
The secret of the buried tomb /,"Knight, Clayton, 1891-1969","London : Cape,  1954, 1948"
"Kiss love goodbye,","Gaddis, Peggy.","New York, Arcadia House, 1942"
"The rainbow,","Wasilewska, Wanda, 1905-1964.; Hanna, George,; Donnelly, Elizabeth,","Moscow, Foreign languages Pub. House, 1942"
The last inspection,"Lewis, Alun, 1915-1944.","[New York : Macmillan Co.], 1943"
The volcano's edge /,"Prichett, Wilson, 1833-","Philadelphia : George S. Ferguson, 1946"
With the Commandos /,"Westerman, Percy F. 1876-1959.; Van Abb, S.","London : Blackie & Son, 1943"
Diggers and doughboys /,"Haymes, William.; Williamson, William H.","Sydney : F. Johnson, 1943"
A dance to the music of time /,"Powell, Anthony, 1905-2000.","Boston Mass. : Little, Brown, 1955"
Action stations!,"Ritchie, Lewis Anselm da Costa.","[Boston : Little, Brown and Co.], 1941"
The forbidden land / by Bertha Hettleman.,"Hettleman, Bertha.","New York : Margent Press, 1947"
H.M.S. Ulysses.,"MacLean, Alistair, 1922-1987.","Garden City, N.Y., Doubleday, 1951"
"The corporal, the sergeant, and the major.","Szabo, Julius V., 1920-","New York, Pageant Press 1953"
The lonely war /,"Gibson, Owen.","Sydney : Calvert Pub. Co., 1950s"
Voodoo Island : a story for boys /,"Armitage, Alan, 1875-1960.","Wellington [N.Z.] : A.H. & A.W. Reed, 1945"
Tales of the South Pacific /,"Michener, James A.","New York : Macmillan Pub., 1947"
Tales of the South Pacific /,"Michener, James A. 1907-1997.","New York : Pocket Books, 1949"
Cloudless May : [novel] /,"Jameson, Storm, 1891-1986.","London : Reprint Society, 1945"
"Britannia rules the waves,","Tier, Alexander.","London, Westminster Press 1945"
The three bamboos : a novel /,"Standish, Robert, 1898?-1981.","London : P. Davies, 1942"
W slawie i cieniu : dwie nowele o Polsce walczacej i Polsce cierpiacej /,"Celt, Marek.; Iwaszkiewicz, Jaroslaw,; Celt, Marek., and others","W Paryzu : Ksieg. Polska, 1945"
Repent in haste.,"Marquand, John P. 1893-1960.",Popular Library 1945
The wolf that fed us /,"Lowry, Robert, 1919-1994.","New York : Popular Library,  1950, 1949"
Salt in our wounds /,"Harvey, Jack, 1921-","London : Cassell, 1953"
Into the dawn /,"McElhiney, Gaile Churchill.","Los Angeles : DeVorss & Co., 1945"
"Well done, Denehurst! /","Courtney, Gwendoline.; Horder, Margaret.","London : Oxford University Press, 1941"
"France is a star, a novel.","Dilke, Christopher, 1913-1987.","London, W. Heineman 1946"
The jacaranda tree /,"Bates, H. E. 1905-1974.","New York : Popular Library, 1949"
Sons of the others : a novel /,"Gibbs, Philip, 1877-1962.","Toronto : Ryerson, 1940s"
The river line /,"Morgan, Charles, 1894-1958.","London: Macmillan Co.,  1949, 1971"
Combined operations /,"Westerman, Percy F. 1876-1959.","London : Blackie & Son,  1940-1945?"
The snow goose /,"Gallico, Paul, 1897-1976.","Toronto : McClelland and Stewart, 1940"
The fear makers /,"Teilhet, Darwin L., 1904-1964.","New York : Pocket Books,  1946, 1945"
Guard of honor /,"Cozzens, James Gould.","New York : Harcourt, Brace & World, 1948"
Worrals carries on /,"Johns, W. E. 1893-1968.","Toronto : Musson Book Co., 1945"
The dead look on : a novel /,"Kersh, Gerald, 1911-1968.","London : Right Book Club, 1944"
The side of the angels /,"McLaughlin, Robert, 1908-1973.","New York : Editions for the Armed Services, 1947"
Concentration camp Vernet : two stories /,"Wolf, Friedrich.; Korr, M. S.","Moscow : Mezhdunarodnaya Kniga (The International Book), 1942"
Came a cavalier,"Keyes, Frances Parkinson, 1885-1970.","New York, Pocket Books 1947"
C/o Postmaster /,"St. George, Thomas R. 1919-","New York : Books Inc. : Distributed by Crowell, 1943"
Bugle blast : an anthology from the services. Third series /,"Aistrop, Jack.; Moore, Reginald.","London : Allen & Unwin, 1945"
Casualty /,"Lowry, Robert, 1919-","New York : Popular Library,  1951, 1946"
Friendly ocean /,"Borodin, George, 1903-","New York ; London : Staples Press, 1946"
"Death in the A.R.P.,","Davison, Gilderoy, 1892-","London, H. Jenkins Limited 1939"
One of our bombers is missing /,"Brennan, Dan.","New York : Belmont Tower Books, 1946"
"Arrival and departure,","Koestler, Arthur, 1905-1983.","London, J. Cape 1947"
A girl to come home to /,"Hill, Grace Livingston, 1865-1947.","New York : Grosset & Dunlap, 1945"
The Fish Bite Major /,"Dudley, Della A.","Los Angeles : Research Pub. Co., 1950"
"Tommy helps, too /","Rey, H. A. 1898-1977.","Boston : Houghton Mifflin Co., 1943"
The goose on the grave : two short novels.,"Hawkes, John, 1925-; Hawkes, John,","New York : J. Laughlin, 1954"
Of smiling peace /,"Heym, Stefan, 1913-2001.","London : Skeffington, 1946"
So deep my love /,"Grey, Vivien.","New York : Arcadia House, 1944"
The unknown soldier : a novel /,"Linna, Vhainho.","Porvoo : W. Shoderstrhom, 1954"
William and A.R.P. /,"Crompton, Richmal, 1890-1969.; Henry, Thomas.","London : G. Newnes, 1939"
The 'Caine' mutiny /,"Wouk, Herman, 1915-","London [England] : Cape, 1952"
"The ""Graf Spee"" action and its aftermath ...  Publication:  [London, Illustrated London News and Sketch, 1940   Document:  English :  Book   :  Fiction         Libraries Worldwide : 6   More Like This:  Advanced options ...   See more details for locating this item","The ""Graf Spee"" action and its aftermath ...  Publication:  [London, Illustrated London News and Sketch, 1940   Document:  English :  Book   :  Fiction         Libraries Worldwide : 6   More Like This:  Advanced options ...   See more details for locating this item","[London, Illustrated London News and Sketch, 1940"
The age of reason /,"Sartre, Jean-Paul, 1905-1980.; Sartre, Jean-Paul,","London : H.Hamish, 1947"
Rendezvous /,"Townend, W. 1881-","London : Chapman & Hall, 1943"
Paris escort /,"Harper, Daniel, 1922-1993.","New York, N.Y. : Eton Books, 1953"
Paris escort /,"Harper, Daniel, 1922-1993.","New York, N.Y. : Eton Books, 1953"
"Bulgy, the barrage balloon.","Marx, Enid, 1902-1998.","London, Oxford Univ. Press, 1941"
"Bulgy, the barrage balloon","Marx, Enid, 1902-1998.","London ; New York : Oxford University Press, 1941"
Ma-rai-ee /,"Chin, Kee Onn.","Sydney : A'sian Pub. Co. in association with Harrap, 1952"
Captain Easy : behind enemy lines.,"Crane, Roy.","Racine, Wisc. : Whitman Pub. Co., 1943"
Leaf in the storm.,"Lin, Yutang, 1895-1976.","New York : John Day Co., 1941"
The naked and the dead.,"Mailer, Norman.","New York : New American Library,  1954, 1948"
The Naked and the Dead : a Novel /,"Mailer, Norman.","Sheldon, CT : First Edition Library, 1948"
The naked and the dead /,"Mailer, Norman.","The Hague : Heinemann, 1952"
George and Margo /,"Hoffman, Roland, -1945.","London : J. Langdon, 1948"
Lost island /,"Hall, James Norman, 1887-1951.","New York : Editions for the Armed Services,  1946, 1944"
"Daughter of France,","Praag, Siegfried E. van 1899-2002.; York, Enid,","London, Toronto, W. Heinemann, Ltd. 1945"
X-13 /,"Gibson, Owen.","Sydney : Calvert Pub. ; Melbourne : Distributors, Gordon & Gotch (A/Asia), 1950s"
No love without sorrow.,"Ranucci, Amabile, 1919-; Lord, Charlotte.","New York, Pageant Press 1954"
They die with their boots clean /,"Kersh, Gerald, 1911-1968.","London : Vanguard Library,  1953, 1941"
The key /,"De Hartog, Jan, 1914-2002.","New York : Pocket Books,  1953, 1952"
Mystery in blue /,"Mallette, Gertrude E. 1887-","Garden City, N.Y. : Junior Literary Guild and Doubleday, Doran & Co., 1945"
We fished all night /,"Motley, Willard, 1909-1965.","New York : New American Library,  1953, 1951"
Convoy patrol : a thrilling story of the U.S. Navy /,"Winterbotham, R. R. 1904-1971.; Hess, Erwin L.","Racine, Wis. : Whitman, 1942"
The cruel sea.,"Monsarrat, Nicholas, 1910-","New York, Knopf, 1951"
The beauty of the ships ; a story of the present war.,"Owen, John, 1878-","London and Melbourne, Hutchinson & Co. 1940"
Squadron airborne /,"Trevor, Elleston.","New York : Manor, 1955"
Worrals on the war-path /,"Johns, W. E. 1893-1968.","Toronto : Musson Books, 1944"
Blue days and fair.,"Gibbs, Henry.","London, New York, Jarrolds 1945"
The young lions /,"Shaw, Irwin, 1913-1984.; Phillips, Barye,","New York : New American Library,  1950, 1948"
Taffy came to Cairo /,"Duffield, Anne, 1895-","London ; Melbourne : Cassell, 1945"
The widow-makers /,"Blankfort, Michael, 1907-1982.","New York : Editions for the Armed Services,  1947, 1946"
Guerrilla /,"Dunsany, Edward John Moreton Drax Plunkett, Baron, 1878-1957.","New York : Editions for the Armed Services,  1946, 1944"
Secret weapon /,"Newman, Bernard, 1897-1968.","London : V. Gollancz, 1942"
The usurpers /,"Milosz, Czeslaw.","London : Faber and Faber, 1955"
"The amazing summer, a novel.","Gibbs, Philip, 1877-1962.",Toronto Ryerson Press 1941
"Gimlet comes home : another adventure of King of the Commandos and his three musketeers, 'Copper' Colson, 'Trapper' Troublay, and 'Cub' Peters /","Johns, W. E. 1893-1968.; Stead, Leslie.","London : Univ. of London Press, 1946"
Bridge over the River Kwai.,"Boule, Pierre.","Martin Secker & Warburg, Ltd, 1954"
Living tapestry,"Sava, George, 1903-","London, New York [etc.] Staples Press limited 1946"
"Wartime stew, slightly sweetened /","Pirani, Leila.; Paterson, Esther,","Melbourne : Victory Publicity, 1944"
A crowd is not company.,"Kee, Robert.","London : Eyre & Spottiswoode, 1947"
"The rainbow, a novel","Wasilewska, Wanda, 1905-1964.; Bone, Edith,; Bleeker, Sonia,",[New York] Book Find Club 1944
"Rainbow, a novel.","Wasilewska, Wanda, 1905-1964.","London, Hutchinson 1943"
The bridge over the River Kwai : a novel /,"Boulle, Pierre, 1912-","New York : Frankland Watts, 1954"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","New York : Dell Pub. Co., 1941"
"The rainbow, a novel","Wasilewska, Wanda, 1905-1964.; Bone, Edith,; Bleeker, Sonia,",[New York] Book Find Club 1944
"Rainbow, a novel.","Wasilewska, Wanda, 1905-1964.","London, Hutchinson 1943"
The bridge over the River Kwai : a novel /,"Boulle, Pierre, 1912-","New York : Frankland Watts, 1954"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","New York : Dell Pub. Co., 1941"
Gorilla on the wire /,"Gibson, Owen.","Sydney : Calvert Pub. ; Melbourne : Distributors, Gordon & Gotch (A'Asia), 1950s"
Broken pledges /,"Gibbs, Philip, 1877-1962.","Toronto : Ryerson Press, 1940"
Kriegie's journey: a novel of a paratrooper in World War II.,"Hendricks, Earl.","New York : Exposition, 1954"
The breaking wave : complete novel /,"Shute, Nevil,; Chubb, Mary,, and others","Garden City, NY : Nelson Doubleday, 1955"
A flag in the city.,"Landon, Christopher.","London, Heinemann 1954"
The little jeep /,"Ayers, Peggy Griffin.","Glendale, Calif. : Griffin-Patterson Pub. Co., 1942"
Vic Sands of the Flying Fortress bombing squadron : an original story /,"Snell, Roy J. 1878-","Racine, Wisc. : Whitman Pub. Co., 1944"
The land is bright.,"Chapel, Francis Heaton.","London, Hammond, Hammond 1946"
H.M.S. Ulysses /,"MacLean, Alistair, 1922-1987.","[United States] : Aeonian Press, 1955"
Attack /,"Wolff, Perry.; Soto, Rafael M. de,","New York : Pocket Books,  1951, 1950"
Attack in the desert /,"Home, Michael, 1885.","New York : William Morrow & Co., 1942"
The far shore /,"Webber, Gordon.","New York : Bantam Books, 1955"
Combat /,"Van Praag, Van, 1920-","New York : Pocket Books,  1950, 1949"
Death comes to the Fuehrer /,"Thomas, W. J.; Clements, Stan.","Sydney : N.S.W. Bookstall Co., 1941"
That winter /,"Miller, Merle, 1919-1986.","New York : Popular Library, 1948"
Penny Marsh and Ginger Lee : wartime nurses /,"Deming, Dorothy, 1893-","New York : Dodd, Mead & Co., 1943"
Penny Marsh and Ginger Lee : wartime nurses /,"Deming, Dorothy, 1893-","New York : Dodd, Mead & Co., 1943"
The lonely /,"Gallico, Paul, 1897-1976.","New York : New American Library,  1950, 1949"
"Pathfinders,","Lewis, Cecil, 1898-1997.","London, P. Davies 1944"
The ship.,"Forester, C. S. 1899-1966.",[London] British Publishers Guild 1943
The deep six /,"Dibner, Martin.","London : Cassell, 1954"
"Kate Russell, wartime nurse /","Johnson, Martha, 1911-","New York : Books Inc., distributed by T.Y. Crowell Co.,  1944, 1942"
Butternut.,"Ceder, John.","New York : Vantage Press, 1955"
Moscow /,"Plievier, Theodor, 1892-1955.","London : Frederick Muller, 1953"
Worrals of the W.A.A.F. /,"Johns, W. E. 1893-1968.","Toronto : Musson Book Co., 1944"
"Death to the fifth column,","Newman, Bernard, 1897-1968.","London, V. Gollancz Ltd., 1941"
A bell for Adano /,"Hersey, John, 1914-1993.","New York : Pocket Books, 1945"
Captain Midnight and the secret squadron vs. the terror of the Orient /,"Winterbotham, R. R. 1904-1971.; Hess, Erwin L.,","Racine, Wis. : Whitman Pub. Co., 1942"
Murder on Bag Hill /,"Ryland, Clive.","London ; Melbourne : Hutchinson, 1940s"
Le silence de la mer : rcit /,"Vercors, 1902-1991.; Skilton, John D.,","Paris : ditions de minuit, 1942"
Squadron leader /,"Westerman, Percy F. 1876-1959.; Cuneo, Terence,","London ; Blackie & Son, 1946"
"This above all,","Knight, Eric, 1897-1943.","New York, Harper 1941"
Passing by /,"Merrick, Elliott, 1905-1997.","New York : Editions for the Armed Services, 1947"
Catch-22 : a novel/,"Heller, Joseph.","New York, Simon & Schuster, 1955"
The undaunted /,"Harris, John, 1916-1991.","New York : Bantam Books,  1955, 1953"
The Aussies and the Yanks /,"Haymes, William.; Williamson, William H.","Sydney : F. Johnson, 1943"
Full ahead /,"Gibson, Owen.","Sydney : Calvert Pub. Co. ; Melbourne : Distributor, Gordon & Gotch, 1950s"
Jungle holocaust /,"Janes, Gene.","Sydney : Calvert ; Melbourne : Distributors, Gordon & Gotch, 1950s"
